freq_Hz,Zreal_Ohm,-Zimag_Ohm
10000,0.027050768,-0.012441347
7942.93,0.02699557,-0.0099058919
6309.01,0.02701417,-0.0079315461
5011.2,0.02685624,-0.0060800068
3980.36,0.027220512,-0.0046862347
3161.57,0.027181994,-0.0035532238
2511.21,0.027081823,-0.0027741756
1994.64,0.027197317,-0.0019611018
1584.33,0.027190143,-0.0013316236
1258.42,0.027164755,-0.00078819625
999.553,0.02734587,-0.00035554387
793.937,0.027314129,0.00024705586
630.619,0.027410356,0.00073444095
500.896,0.027502394,0.0012621193
397.858,0.027780403,0.0014294931
316.016,0.027967006,0.0020176327
251.009,0.02833019,0.0024189073
199.375,0.028633652,0.0030972583
158.362,0.029210811,0.0037225493
125.786,0.029753238,0.004162788
99.9105,0.030664212,0.0047210865
79.3582,0.0314546,0.0052733471
63.0336,0.032384118,0.0055965575
50.0672,0.033333935,0.0056077326
39.768,0.03412363,0.0059737204
31.5874,0.035234735,0.0061722315
25.0897,0.036294961,0.0064697757
19.9285,0.036826313,0.0067770783
15.8291,0.037813384,0.0068940449
12.5729,0.038931107,0.0073256041
9.98658,0.040425792,0.0076998752
7.93227,0.041663358,0.0078432525
6.30054,0.043198892,0.0080411237
5.00448,0.044599523,0.0078334269
3.97502,0.045945325,0.0074702712
3.15733,0.047279867,0.0073674876
2.50784,0.048401628,0.0065494707
1.99196,0.049586071,0.0063124578
1.5822,0.050156143,0.0056335104
1.25673,0.050991292,0.0052592798
0.998212,0.051702485,0.0046952849
0.792872,0.052461578,0.0042558252
0.629773,0.052501463,0.0040145153
0.500224,0.052845567,0.0038218522
0.397324,0.053291716,0.0036628167
0.315592,0.053887574,0.0036079918
0.250672,0.054038492,0.0037256052
0.199107,0.054646371,0.003579042
0.158149,0.054490467,0.0036039248
0.125617,0.055380173,0.003720383
0.0997765,0.055792046,0.0040310789
0.0792518,0.055845111,0.0040609217
0.0629491,0.056623567,0.0048282111
0.05,0.0573746,0.0054420154
