freq_Hz,Zreal_Ohm,-Zimag_Ohm
10000,0.032243998,-0.012411252
7942.93,0.031783329,-0.0097407608
6309.01,0.032089738,-0.0077535434
5011.2,0.032002796,-0.005812765
3980.36,0.032026671,-0.0047759026
3161.57,0.032065105,-0.0036631753
2511.21,0.031909866,-0.0025614546
1994.64,0.032106812,-0.0019809892
1584.33,0.032076248,-0.001249821
1258.42,0.032520048,-0.00086475583
999.553,0.032271403,-9.729766e-05
793.937,0.032281329,0.00026148078
630.619,0.032374895,0.00056074069
500.896,0.032451954,0.00098204277
397.858,0.032566811,0.0017963664
316.016,0.032836656,0.0021618084
251.009,0.033197484,0.0026563582
199.375,0.033490151,0.003380417
158.362,0.034092797,0.0038351214
125.786,0.034593634,0.0048380335
99.9105,0.035396041,0.0053973674
79.3582,0.036506984,0.0062425902
63.0336,0.037488876,0.0065849426
50.0672,0.038567458,0.0072627323
39.768,0.039862969,0.007708964
31.5874,0.04122055,0.0081931397
25.0897,0.042651273,0.0080261518
19.9285,0.04359387,0.0084140393
15.8291,0.044835199,0.0087236458
12.5729,0.04630403,0.0090369927
9.98658,0.047432107,0.0095624156
7.93227,0.04906013,0.010128292
6.30054,0.050944047,0.010515615
5.00448,0.052745103,0.010747243
3.97502,0.054600357,0.010423313
3.15733,0.056642743,0.010710001
2.50784,0.057887043,0.010147615
1.99196,0.060283878,0.009501481
1.5822,0.061423636,0.0086831169
1.25673,0.062571844,0.0078475416
0.998212,0.064019715,0.0074404866
0.792872,0.064997301,0.0068358722
0.629773,0.065516554,0.0058821264
0.500224,0.066018225,0.0051242671
0.397324,0.066781781,0.004806298
0.315592,0.067251689,0.0046139825
0.250672,0.067998659,0.0045248539
0.199107,0.068298377,0.0043014249
0.158149,0.068615691,0.0044063881
0.125617,0.069247307,0.0042706644
0.0997765,0.06943621,0.0047763307
0.0792518,0.069778353,0.0048367613
0.0629491,0.070632118,0.0052274379
0.05,0.071218178,0.0055122895
