freq_Hz,Zreal_Ohm,-Zimag_Ohm
10000,0.045940115,-0.012435215
7942.93,0.046015199,-0.0099286538
6309.01,0.046280854,-0.0075463299
5011.2,0.046149349,-0.0062476735
3980.36,0.045841327,-0.0046593411
3161.57,0.046083271,-0.0036383253
2511.21,0.046015734,-0.0028360748
1994.64,0.046145278,-0.0020647952
1584.33,0.045930254,-0.0014868513
1258.42,0.046222314,-0.00081122321
999.553,0.046267047,-0.00028450783
793.937,0.046511791,0.00013977018
630.619,0.04641293,0.00078562125
500.896,0.046539328,0.00095341989
397.858,0.046390146,0.0017378127
316.016,0.047089283,0.0023617433
251.009,0.046734411,0.0025148007
199.375,0.047472897,0.0035246588
158.362,0.047684964,0.0044637906
125.786,0.048158073,0.0049046054
99.9105,0.048917197,0.0061847801
79.3582,0.049850433,0.0069914832
63.0336,0.051184128,0.0083073323
50.0672,0.052519246,0.0091946044
39.768,0.054404281,0.010298474
31.5874,0.055619439,0.011055194
25.0897,0.057776455,0.011449589
19.9285,0.059461565,0.011714465
15.8291,0.061581618,0.011915372
12.5729,0.062808708,0.011976506
9.98658,0.06494769,0.013101245
7.93227,0.066941864,0.013230513
6.30054,0.068626821,0.01417355
5.00448,0.071411954,0.01469224
3.97502,0.073731851,0.015515286
3.15733,0.07663074,0.015851218
2.50784,0.079460338,0.015729617
1.99196,0.081825191,0.015537785
1.5822,0.084586665,0.01460773
1.25673,0.087229463,0.013891097
0.998212,0.089675745,0.012287525
0.792872,0.091572799,0.011430643
0.629773,0.092693121,0.010286393
0.500224,0.09400189,0.0089495293
0.397324,0.095004233,0.0081860547
0.315592,0.095949136,0.0075527628
0.250672,0.096805423,0.006929002
0.199107,0.097502946,0.0064509603
0.158149,0.098757861,0.0057571452
0.125617,0.098577855,0.0056401535
0.0997765,0.099209106,0.0056912969
0.0792518,0.1000076,0.0056118642
0.0629491,0.10017975,0.0061847947
0.05,0.10098952,0.0061479227
